Method,CovType,ErrorType,Tau,C_median,C_se,IC_median,IC_se,SE_median,SE_se,PE_median,PE_se
CoCoLasso,AR,additive,0.75,3.0,0.0,2.0,0.5064336086793608,2.979513141477587,0.2523341954038699,2.8645076245273486,0.2325755518567098
CoCoLasso,AR,additive,1.0,3.0,0.14323407415835104,2.0,0.346541483808216,4.953365270291732,0.3380524659151431,5.09966529426895,0.3231896879274151
CoCoLasso,AR,additive,1.25,2.0,0.0,1.0,0.2300086954878011,6.885179248200812,0.36473053161736463,7.251974101863825,0.4054186260624288
CoCoLasso,AR,multiplicative,0.25,3.0,0.0,12.0,1.457618262783504,1.7323382437505157,0.12466932044155545,1.8394924181295864,0.09729261672612666
CoCoLasso,AR,multiplicative,0.5,3.0,0.0,9.0,1.1757976016304847,2.646117461759945,0.16892381185630798,2.5645538130899617,0.16455824882019748
CoCoLasso,AR,multiplicative,0.75,3.0,0.0,5.0,0.6599477252025344,4.35502425531744,0.22824666448133843,4.334371609723571,0.264411807797389
CoCoLasso,CS,additive,0.75,2.0,0.08328265125462804,7.0,0.4298185663742319,8.090258225835823,0.48286707716195415,4.503443485259119,0.2749315226988698
CoCoLasso,CS,additive,1.0,2.0,0.031559467676119,7.0,0.41034010284153316,11.51537988433821,0.6101676395723838,6.458859210183157,0.23173222240450808
CoCoLasso,CS,additive,1.25,1.0,0.04990991885387113,5.0,0.4407312106034697,15.698413419338042,0.9933815107819914,9.713574453367034,0.6219922191475643
CoCoLasso,CS,multiplicative,0.25,3.0,0.0,14.0,1.4005638150402144,3.8299636987485286,0.18779286475321386,1.9889255839477038,0.1045351841445243
CoCoLasso,CS,multiplicative,0.5,3.0,0.0,13.0,0.556649800143681,5.597936632146853,0.31607847364532876,3.068755491606633,0.20800123532810133
CoCoLasso,CS,multiplicative,0.75,2.0,0.044676615807377355,11.0,0.572821088997254,9.04396687166767,0.43786239689136386,4.763234923449339,0.21735441921088272
