Method,CovType,ErrorType,Tau,C_median,C_se,IC_median,IC_se,PE_median,PE_se,SE_median,SE_se
CoCoLasso,AR,additive,0.75,3.0,0.0,2.0,0.5064336086793608,2.8645076245273486,0.24200052867698868,2.979513141477587,0.2570168999821909
CoCoLasso,AR,additive,1.0,3.0,0.14323407415835104,2.0,0.346541483808216,5.09966529426895,0.3335455591113073,4.953365270291732,0.32368404554852936
CoCoLasso,AR,additive,1.25,2.0,0.0,1.0,0.2300086954878011,7.251974101863825,0.4679160551246131,6.885179248200812,0.3518002307216219
CoCoLasso,AR,multiplicative,0.25,3.0,0.0,12.0,1.457618262783504,1.8394924181295864,0.09889182667440363,1.7323382437505157,0.12453661666229045
CoCoLasso,AR,multiplicative,0.5,3.0,0.0,9.0,1.1757976016304847,2.5645538130899617,0.16248253096937051,2.646117461759945,0.1695098010337291
CoCoLasso,AR,multiplicative,0.75,3.0,0.0,5.0,0.6599477252025344,4.334371609723571,0.26713923090609154,4.35502425531744,0.2338682638472001
CoCoLasso,CS,additive,0.75,2.0,0.08328265125462804,7.0,0.4298185663742319,4.503443485259119,0.26374735172572095,8.090258225835823,0.48913359250222366
CoCoLasso,CS,additive,1.0,2.0,0.031559467676119,7.0,0.41034010284153316,6.458859210183157,0.2381106688884914,11.51537988433821,0.6156851445274941
CoCoLasso,CS,additive,1.25,1.0,0.04990991885387113,5.0,0.4407312106034697,9.713574453367034,0.6517442182908206,15.698413419338042,0.9648206314104375
CoCoLasso,CS,multiplicative,0.25,3.0,0.0,14.0,1.4005638150402144,1.9889255839477038,0.09735989173584957,3.8299636987485286,0.1963494013569592
CoCoLasso,CS,multiplicative,0.5,3.0,0.0,13.0,0.556649800143681,3.068755491606633,0.20577534369116232,5.597936632146853,0.3272784079673913
CoCoLasso,CS,multiplicative,0.75,2.0,0.044676615807377355,11.0,0.572821088997254,4.763234923449339,0.21973366740779274,9.04396687166767,0.453335206521026
